Id,汉字,汉字简化,OC声母,Qieyun_Baxter,Pmin,PT,Mien,PHM,Hmong,Vietic,Hakka,Utsang,Lakkia,Bai,Waxiang,Caijia
1,書,书,T,sy,tš,,,,,,,,,,ts,
2,羞,,N,,tsh,,,,,,,,,,,
3,泄,,L,,tsh,,,,,,,,,,,
4,老,,R,l,lh,,,,,,,,,,,
5,鋤,,Lx,,dhx,,,,,,,,,,,
6,水,,Lx,sy,tš,,,,,,,,,,ts,
7,星,,,,tsh,,,,,,,,,,,
8,奢,,T,sy,tšh,,,,,,,,,,,
9,窗,,L,,th,,,,,,,,,,,
11,升,,T,sy,tš,,,,,,,,,,ts,
12,室,,T,sy,tš,,,,,,,,,,,
13,手,,N,sy,tšh,,,,,,,,,,,
14,首,,L,sy,tšh,,,,,,,,,,,
15,試,,L,sy,tšh,,,,,,,,,,,
16,舒,,L,sy,tšh,,,,,,,,,,,
17,床,,,dzr,dzh,,,,,giường,,,,,,
18,賊,,,dz,dzh,,,,,giặc,,,,,,
19,紙,,T,tsy,tš,,,,,,,,,,,
20,正,,T,tsy,tš,,,,,giường,,,,,,
21,薅,,K,x,kh,,,,,,,,,,,
22,春,,T,tsyh,tšh,,,,,,,,,,,
23,秋,,,tsh,tsh,,,,,,,,,,,
24,上,,,dzy,džh,,,,,,,,,,,
25,守,,T,sy,tš,,,,,,,,,,ts,
26,象,,,z,dzh,ɟaːŋ C,ɣjiɔŋ,,,ʔa-ɟaːŋ,,,dzaːŋC,,,
27,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,
33,八,,P,p,,,,,,,,,,,,
34,婶,,L,sy,tšx,,,,,,,,,,,
35,叔,,TQx,sy,tšx,,,,,,,,,,,
36,身,,N,sy,s,,,,,,,,,,,
37,屎,,LGx,sy,s,,,,,,,,,,,
38,扇,,,sy,s,,,,,,,,,,,
39,湿,,NGx,sy,tšhx,,,,,,,,,,,
40,少,,Mx,sy,tšx,,,,,,,,,,,
41,深,,Lx,sy,tšh,,,,,,,,,,,
42,鼠,,Lx,sy,tšh,,,,,,,,,,,
43,矢,,Lx,sy,tšh,,,,,,,,,,,
44,拭,,Lx,sy,tšh,,,,,,,,,,,
